player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Bryce Shevak,152522,G,AVEMAR,1,100.0,0,1450,65.8,49.7,68.6,0,1,30,100.0,100.0,95.0,1,2,1,54,0,40,0,54,30,30,14,0,24,0
Titus Martin,41355,G,TAYLOR,1,100.0,0,402,62.8,80.1,60.6,0,0,17,100.0,100.0,100.0,0,0,0,53,0,53,0,53,17,17,0,0,36,0
Bobby Valeri,150607,C,SOCTOW,1,100.0,0,1107,66.9,74.7,62.9,0,2,36,100.0,100.0,97.2,0,2,0,53,53,0,0,53,37,37,0,0,16,0
Christian Minaya,150606,G,SOCTOW,1,100.0,0,1107,51.0,37.8,50.7,0,3,36,100.0,100.0,95.8,0,3,0,53,0,53,0,53,37,37,0,0,16,0
Taviauhn Turner,109219,G,LANECOL,1,100.0,0,942,67.4,69.0,67.4,0,0,37,100.0,100.0,100.0,0,0,0,53,0,53,0,53,40,40,0,0,13,0
Donovan Harris,150616,T,SOCTOW,1,100.0,0,1107,45.9,58.4,36.4,1,2,36,100.0,100.0,95.8,0,3,0,53,0,0,0,53,37,37,0,53,16,0
Liam Hesting,154381,T,TAYLOR,1,100.0,0,402,59.7,67.2,57.4,0,1,17,100.0,100.0,97.1,0,1,0,53,0,0,0,53,17,17,0,53,36,0
Carew Gomes,150605,T,SOCTOW,1,100.0,0,1107,30.9,18.1,35.5,1,1,36,100.0,100.0,97.2,0,2,0,53,0,0,53,53,37,37,0,0,16,0
Michael Medlock,62408,C,TAYLOR,1,100.0,0,402,57.6,54.8,57.6,0,0,17,100.0,100.0,100.0,0,0,0,53,53,0,0,53,17,17,0,0,36,0
Rich Christie,150609,G,SOCTOW,1,100.0,0,1107,60.2,61.9,58.4,0,1,36,100.0,100.0,98.6,0,1,0,53,0,0,0,53,37,37,53,0,16,0
Montavious Tinch,112172,TE,MILES,2,78.8,0,386,71.9,68.4,54.0,0,0,2,12.5,12.5,100.0,0,0,0,52,0,0,0,66,2,16,0,0,50,63
Tre Cameron,152925,T,WV WESLEY,1,100.0,0,409,55.1,72.1,47.2,1,0,28,100.0,100.0,98.2,0,1,0,51,0,0,0,51,29,29,0,51,22,0
Bennett Landry,152527,G,AVEMAR,1,100.0,0,1450,66.0,86.7,61.6,0,0,30,100.0,100.0,100.0,0,0,0,51,0,0,0,51,30,30,51,0,21,0
Logan Wright,154274,G,LNDNWD,1,100.0,0,949,50.5,54.0,48.3,0,1,24,100.0,100.0,97.9,0,1,0,51,0,51,0,51,26,26,0,0,25,0
Jake Folland,152921,G,WV WESLEY,1,100.0,0,409,36.8,20.3,43.3,3,0,28,100.0,100.0,94.6,1,3,0,51,0,0,0,51,29,29,51,0,22,0
Clay Adams,154353,T,TAYLOR,1,100.0,0,402,60.3,80.5,55.6,0,0,21,100.0,100.0,100.0,0,0,0,51,0,0,51,51,21,21,0,0,30,0
Blake Rogenhofer,154250,T,LNDNWD,1,100.0,0,949,40.9,43.4,47.5,0,1,24,100.0,100.0,85.4,1,4,3,51,0,0,51,51,26,26,0,0,25,0
Connor Mazzotta,154228,C,LNDNWD,1,100.0,0,949,59.1,68.2,56.7,0,1,24,100.0,100.0,97.9,0,1,0,51,51,0,0,51,26,26,0,0,25,0
Ethan Johnson,154217,T,LNDNWD,1,100.0,0,949,41.1,18.6,50.1,0,6,24,100.0,100.0,87.5,0,6,0,51,0,0,0,51,26,26,0,51,25,0
